label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
aircraft,845,174,1145,336,Kopie van 000aa01b25574f28b654718db0700f72.jpg,2048,1365
aircraft,169,762,384,131,Kopie van 000aa01b25574f28b654718db0700f72.jpg,2048,1365
aircraft,123,903,315,111,Kopie van 000aa01b25574f28b654718db0700f72.jpg,2048,1365
aircraft,212,898,1075,278,Kopie van 000aa01b25574f28b654718db0700f72.jpg,2048,1365
aircraft,259,162,746,456,Kopie van 0079ecb92d4a99dc405dae5bde86d8a9.jpg,1200,799
aircraft,318,113,573,506,Kopie van 00b2add164cb42440a52064e390ea3d2.jpg,1280,850
aircraft,937,713,514,128,Kopie van 02077e52bc18c0b141ddcb213dc4548e.jpg,2400,1544
aircraft,2154,899,505,384,Kopie van 0253a176eff9b7b4b8f91429b513b8cf.jpg,4096,2731
aircraft,365,267,460,962,Kopie van 0366e9b9b25ca38d17fda3eb0032b009.jpg,1928,2892
aircraft,1130,1187,369,556,Kopie van 0366e9b9b25ca38d17fda3eb0032b009.jpg,1928,2892
aircraft,613,167,117,66,Kopie van 0619bf8396a765a73f7a2b8f7d04acae.jpg,1200,799
aircraft,145,296,814,195,Kopie van 086d581be5490adc4ed0fdf9dfd78712.jpg,1080,810
aircraft,64,119,854,410,Kopie van 0911cb7f7ce71533fbb205322f1e5d44.jpg,980,630
aircraft,188,177,610,328,Kopie van 0955ed8df2e3a23e36d3c0a3daff3a64.jpg,1215,811
aircraft,445,250,352,247,Kopie van 099ef44564f246cd99057f1e071c33e0.jpg,1200,857
aircraft,773,305,157,52,Kopie van 0a1b628512650c43246c152c409f9c41.jpg,1200,800
aircraft,202,219,139,69,Kopie van 0a66768d2d566e9bbbc426354db65277.jpg,1000,667
aircraft,304,280,133,68,Kopie van 0a66768d2d566e9bbbc426354db65277.jpg,1000,667
aircraft,412,343,132,65,Kopie van 0a66768d2d566e9bbbc426354db65277.jpg,1000,667
aircraft,526,412,125,59,Kopie van 0a66768d2d566e9bbbc426354db65277.jpg,1000,667
aircraft,1312,234,104,76,Kopie van 0a9e966f78bb64bc236d10256dd6f9f1.jpg,1896,1377
aircraft,427,472,406,109,Kopie van 0aedfb73a3940401cefedb1e1f42fe8c.jpg,1300,868
aircraft,262,114,393,301,Kopie van 0b02dd33b3e86f3980394f122fcaf450.jpg,960,627
aircraft,62,254,100,28,Kopie van 0b1a8f51998b8fca62a0689f91f3bf27.jpg,1000,750
aircraft,528,462,395,108,Kopie van 0b1a8f51998b8fca62a0689f91f3bf27.jpg,1000,750
aircraft,1341,472,1972,761,Kopie van 0b8b0ab7f2446360d6ae632a2bdef033.jpg,3344,1989
aircraft,426,405,1865,1491,Kopie van 0b8b0ab7f2446360d6ae632a2bdef033.jpg,3344,1989
aircraft,209,327,244,448,Kopie van 0ba7244fc89b71d45179500a9a25e650.jpg,683,1023
aircraft,568,742,1388,621,Kopie van 0c00435379522dc928e9e33d161c86aa.jpg,2464,1632
aircraft,150,100,861,532,Kopie van 0c155a395fcaa44023eee04d1d3d8962.jpg,1180,730
aircraft,153,436,815,223,Kopie van 0c32999938362f5c09a5839cc80595dc.jpg,1920,1281
aircraft,922,500,810,234,Kopie van 0c32999938362f5c09a5839cc80595dc.jpg,1920,1281
aircraft,522,556,777,232,Kopie van 0c32999938362f5c09a5839cc80595dc.jpg,1920,1281
aircraft,115,67,429,272,Kopie van 0c32de06765162740bb2251460204ac6.jpg,1280,673
aircraft,673,87,581,385,Kopie van 0c32de06765162740bb2251460204ac6.jpg,1280,673
aircraft,1059,310,1314,449,Kopie van 0c370a7739801fbcf34f5a0503e19c5c.jpg,3506,2504
aircraft,179,990,1370,704,Kopie van 0c370a7739801fbcf34f5a0503e19c5c.jpg,3506,2504
aircraft,1753,1213,1611,639,Kopie van 0c370a7739801fbcf34f5a0503e19c5c.jpg,3506,2504
aircraft,846,1796,1287,454,Kopie van 0c370a7739801fbcf34f5a0503e19c5c.jpg,3506,2504
aircraft,616,297,171,112,Kopie van 0cac3ab5bcd60447fed86039f9d83fb6.jpg,1200,674
aircraft,34,50,707,699,Kopie van 0cd8e3527ff8843c0abed0f2b4237b2f.jpg,2048,1366
aircraft,1221,444,770,831,Kopie van 0cd8e3527ff8843c0abed0f2b4237b2f.jpg,2048,1366
aircraft,914,589,530,320,Kopie van 0cda0b5a2531b806e6d20d65a13d604f.jpg,2000,1333
aircraft,278,68,978,607,Kopie van 0d3f006a6e2cfefdf2e8cc4aa0b27851.jpg,1280,720
aircraft,104,439,1478,315,Kopie van 0d4d1d4c8246d773af1ed31f1f790f5c.jpg,1800,1199
aircraft,1114,1398,1499,545,Kopie van 1199d91d4965965b0bffe4aa9f9d539c.jpg,4096,2731
aircraft,256,53,625,1792,Kopie van 121a62babf7746375d1dd54ad02e9304.jpg,1080,1920
aircraft,807,736,1865,485,Kopie van 121b4beeebcf31a98865f6b71eb10ef6.jpg,2814,1886
aircraft,277,607,1743,383,Kopie van 121b4beeebcf31a98865f6b71eb10ef6.jpg,2814,1886
aircraft,445,121,71,51,Kopie van 123f3358cee17ced607b1f0c27d7d1a6.jpg,700,467
aircraft,297,217,368,229,Kopie van 126d92e2c896154893a46461a4b78880.jpg,1200,803
aircraft,610,453,281,162,Kopie van 126d92e2c896154893a46461a4b78880.jpg,1200,803
