label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Car,63,42,658,465,Ford_Model_T_01.jpg,780,520
Car,88,268,1141,368,Koenigsegg-Jesko-Komet-Absolut-rendering-2.jpg,1280,721
Car,136,207,719,263,Koenigsegg_Gemera.webp,960,540
Car,38,303,917,382,Lamborghini_Aventador_Police_Dubai.jpg,1000,1000
Car,84,133,689,306,Porsche-Taycan-190820221318.jpg,872,578
Car,80,152,549,217,Volvo-XC40.jpg,710,498
Car,10,65,287,89,car-from-side-view.jpg,307,164
Car,0,331,2048,471,ferrari-f1-2022.jpg,2048,1152
Car,440,31,1212,1058,ferrari-f1-car-launch.jpg,2048,1152
Car,79,18,454,369,istockphoto-1137550850-612x612.jpg,612,426
Car,69,29,474,317,istockphoto-1145720458-612x612.jpg,612,408
Car,70,60,470,343,istockphoto-1147135094-612x612.jpg,612,442
Car,40,51,537,404,istockphoto-170110046-612x612.jpg,612,520
Car,150,72,292,177,istockphoto-911192016-170667a.jpg,573,302
Car,21,56,269,123,kia-ev6.png,308,204
Car,141,180,1657,693,koenigsegg-jesko-14.jpg,1960,1102
Car,15,26,221,152,nissan-gtr.jpg,251,200
Car,272,115,802,524,opel-mokka-x.png,1280,768
Car,217,38,429,215,porsche-cayman.png,860,307
Car,63,371,1791,523,porsche-thumbnail.png.webp,1920,1080
Car,30,39,270,177,sedan-car-isolated-front-view-260nw-1661805742.webp,331,280
Car,112,123,538,256,tesla-cybertruck-front.png,768,432
Car,154,135,592,205,toyota-station-wagon.png,900,480
Car,116,101,772,467,tuner-june112020.jpg,1000,667
Car,25,9,191,162,volkswagen-golf.jpg,237,213
Car,236,458,1505,396,white-sport-car.jpg,2000,1125
